Month,Volume_Mn,Avg_Daily_Volume_Mn,Value_Cr,Avg_Daily_Value_Cr,Avg_Transaction_Value_Rs
01-05-2021,2539.56,81.9234,490360.56,15818.08 ,1930.88787
01-06-2021,2807.52,93.5839,547373.16,18245.772,1949.667892
01-07-2021,3247.82,104.7682,605883.2,19544.6194,1865.507325
01-08-2021,3555.55,114.695,639116.95,20616.6758,1797.51923
01-09-2021,3654.3,121.8099,654648.28,21821.6093,1791.44646
01-10-2021,4218.64,136.0853,771406.99,24884.0965,1828.567951
01-11-2021,4186.48,139.5493,768436.09,25614.5363,1835.518359
01-12-2021,4566.3,147.3,826848.23,26672.5235,1810.761952
01-01-2022,4617.16,148.9405,831993.09,26838.4868,1801.958542
01-02-2022,4527.49,161.696,826843.02,29530.1079,1826.272438
01-03-2022,5405.65,174.3758,960581.67,30986.5055,1776.99568
01-04-2022,5583.05,186.135,970038.4892,33813.75,1737.470539
01-05-2022,5955.2,192.181,1040220.53,33555.593,1746.743233
01-06-2022,5862.75,195.425,1014412.63,33813.7543,1730.267588
01-07-2022,6288.4,202.8516,1063117.04,34294.0981,1690.600216
01-08-2022,6579.63,212.2461,1073162.17,34618.1345,1631.037262
01-09-2022,6780.8,226.0267,1116438.09,37214.603,1646.469576
01-10-2022,7305.42,235.6587,1211587.5,39083.4677,1658.477541
01-11-2022,7309.46,243.6485,1190593.39,39686.4465,1628.839052
01-12-2022,7829.49,252.5642,1281970.86,41353.8987,1637.361897
01-01-2023,8036.89,259.2544,1299058.78,41905.1219,1616.369989
01-02-2023,7534.76,269.0985,1235846.58,44137.3779,1640.193689
01-03-2023,8685.3,280.1709,1404950.59,45320.9869,1617.618954
01-04-2023,8863.26,295.4483,1415504.71,47183.491,1597.047486
01-05-2023,9415.18,303.728,1489145.44,48036.953,1581.643091
01-06-2023,9335.06,311.1688,1475464.26,49182.142,1580.56216
01-07-2023,9964.26,321.4276,1533536.44,49468.9174,1539.036958
01-08-2023,10586.02,341.4844,1576536.54,50856.0174,1489.262764
01-09-2023,10555.69,351.8562,1579133.18,52637.7727,1496.001853
01-10-2023,11408.79,368.0255,1715768.34,55347.3658,1503.900361
01-11-2023,11235.29,374.5097,1739740.61,57991.3537,1548.460796
01-12-2023,12020.23,387.7492,1822949.45,58804.821,1516.567861
01-01-2024,12203.02,393.6457,1841083.97,59389.8055,1508.711753
01-02-2024,12102.67,417.3336,1827869.35,63029.9776,1510.302561
01-03-2024,13440,433.5485,1978353.23,63817.8461,1471.98901
01-04-2024,13303.99,443.475,1964464.52,65482.158,1476.598013
01-05-2024,14035.84,452.771,2044937.05,65965.711,1456.939556
01-06-2024,13885.14,462.8381,2007081.2,66902.7067,1445.48863
01-07-2024,14435.55,465.663,2064292.41,66590.0777,1430.006068
01-08-2024,14963.05,482.6789,2060735.57,66475.341,1377.216256
01-09-2024,15041.75,501.3916,2063994.71,68799.8237,1372.177247
01-10-2024,16584.97,534.9989,2349821.46,75800.6923,1416.837932
01-11-2024,15482.02,516.0674,2155187.41,71839.5803,1392.058278
01-12-2024,16730.01,539.6777,2324699.94,74990.3206,1389.538883
01-01-2025,16996.01,548.2583,2348037.11,75743.1326,1381.522551
01-02-2025,16106.19,575.2212,2196481.7,78445.775,1363.750024
01-03-2025,18301.51,590.3712,2477221.59,79910.3739,1353.561313
01-04-2025,17893.42,596.4519,2394925.87,79830.8638,1338.439421
01-05-2025,18677.45,602.512,2514297.01,81106.361,1346.167175
01-06-2025,18395.01,613.1669,2403930.69,80131.023,1306.83848
01-07-2025,19467.95,627.9983,2508498.1,80919.2935,1288.527092
01-08-2025,20008.31,645.4294,2485472.9,80176.5452,1242.220307
01-09-2025,19633.43,654.4478,2489736.52,82991.2173,1268.110829
01-10-2025,20700.92,667.7716,2727790.71,87993.2487,1317.714725
01-11-2025,20466.98,682.2326,2631632.64,87721.088,1285.794309
01-12-2025,21634.67,697.8925,2796712.71,90216.539,1292.6995
01-01-2026,21703.46,700.1116,2833481.26,91402.6213,1305.543568
01-02-2026,20394.2,728.3643,2684229.3,95865.3321,1316.172882
01-03-2026,18354.07,734.1628,2403249.75,96129.99,1309.382469
