Month,Volume_Mn,Value_Cr,Avg_Transaction_Value_Rs,Prev_Month_Volume,MoM_Growth_Pct
01-01-2020,1305.02,216242.97,1657.01,NULL,NULL
02-01-2020,1325.69,222516.95,1678.5,1305.02,1.6
03-01-2020,1246.84,206462.31,1655.88,1325.69,-5.9
04-01-2020,999.57,151140.66,1512.06,1246.84,-19.8
05-01-2020,1234.5,218391.6,1769.07,999.57,23.5
06-01-2020,1336.93,261835,1958.48,1234.5,8.3
07-01-2020,1497.36,290537.86,1940.33,1336.93,12
08-01-2020,1618.83,298307.61,1842.74,1497.36,8.1
09-01-2020,1800.14,329027.66,1827.79,1618.83,11.2
10-01-2020,2071.62,386106.74,1863.79,1800.14,15.1
11-01-2020,2210.23,390999.15,1769.04,2071.62,6.7
12-01-2020,2234.16,416176.21,1862.79,2210.23,1.1
01-01-2021,2302.73,431181.89,1872.48,2234.16,3.1
02-01-2021,2292.9,425062.76,1853.82,2302.73,-0.4
03-01-2021,2731.68,504886.44,1848.26,2292.9,19.1
04-01-2021,2641.06,493663.68,1869.19,2731.68,-3.3
05-01-2021,2539.57,490638.65,1931.98,2641.06,-3.8
06-01-2021,2807.51,547373.17,1949.67,2539.57,10.6
07-01-2021,3247.82,606281.14,1866.73,2807.51,15.7
08-01-2021,3555.55,639116.95,1797.52,3247.82,9.5
09-01-2021,3654.3,654351.81,1790.64,3555.55,2.8
10-01-2021,4218.65,771444.98,1828.65,3654.3,15.4
11-01-2021,4186.48,768436.11,1835.52,4218.65,-0.8
12-01-2021,4566.3,826848.22,1810.76,4186.48,9.1
01-01-2022,4617.15,831993.11,1801.96,4566.3,1.1
02-01-2022,4527.49,826843,1826.27,4617.15,-1.9
03-01-2022,5405.65,960581.66,1777,4527.49,19.4
04-01-2022,5583.05,983302.27,1761.23,5405.65,3.3
05-01-2022,5955.2,1041520.07,1748.93,5583.05,6.7
06-01-2022,5862.75,1014384.31,1730.22,5955.2,-1.6
07-01-2022,6288.4,1062991.76,1690.4,5862.75,7.3
08-01-2022,6579.63,1072792.68,1630.48,6288.4,4.6
09-01-2022,6780.8,1116438.1,1646.47,6579.63,3.1
10-01-2022,7305.42,1211582.51,1658.47,6780.8,7.7
11-01-2022,7309.45,1190593.39,1628.84,7305.42,0.1
12-01-2022,7829.49,1282055.01,1637.47,7309.45,7.1
