Month,Banks_On_UPI,Volume_Mn,Value_Cr,Avg_Transaction_Value_Rs,Prev_Month_Volume,MoM_Growth_Pct
07-01-2016,21,0.09,0.38,42.22,NULL,NULL
08-01-2016,21,0.09,3.09,343.33,0.09,0
09-01-2016,25,0.09,32.64,3626.67,0.09,0
10-01-2016,26,0.1,48.57,4857,0.09,11.1
11-01-2016,30,0.29,100.46,3464.14,0.1,190
12-01-2016,35,1.99,707.93,3557.44,0.29,586.2
01-01-2017,36,4.46,1696.22,3803.18,1.99,124.1
02-01-2017,44,4.38,1937.71,4424,4.46,-1.8
03-01-2017,44,6.37,2425.14,3807.13,4.38,45.4
04-01-2017,48,7.2,2271.24,3154.5,6.37,13
05-01-2017,49,9.36,2797.07,2988.32,7.2,30
06-01-2017,52,10.35,3098.36,2993.58,9.36,10.6
07-01-2017,53,11.63,3411.35,2933.23,10.35,12.4
08-01-2017,55,16.8,4156.62,2474.18,11.63,44.5
09-01-2017,57,30.98,5325.81,1719.11,16.8,84.4
10-01-2017,60,76.96,7057.78,917.07,30.98,148.4
11-01-2017,61,105.02,9669.33,920.71,76.96,36.5
12-01-2017,67,145.64,13174.24,904.58,105.02,38.7
