Day_of_Month,Occurrences,Avg_Volume_Mn,Avg_Value_Cr,Avg_Ticket_Size_Rs
1,58,387.84,64691.8,1771.86
2,58,389.91,63659.35,1722.71
3,58,385.23,62085.32,1703.5
4,58,384.89,62069.43,1696.3
5,58,386.38,61286.42,1670.71
6,58,381.05,58942.16,1638.15
7,58,384.32,58834.39,1633.9
8,58,385.7,57458.35,1584.91
9,58,385.68,57816.01,1591.52
10,58,388.71,59312.78,1612.33
11,58,383.39,56210.39,1559.72
12,58,379.83,54320.22,1513.69
13,58,379.43,53470.69,1504.29
14,58,375.64,51596.31,1475.39
15,58,373.92,51947.89,1484.59
16,58,372.78,51682.15,1482.73
17,58,370.58,50651.92,1458.92
18,58,370.43,50398.46,1450.82
19,58,369.74,50259.45,1442.97
20,58,371.55,51495.79,1482.07
21,58,368.61,50313.44,1464.27
22,58,366.19,49054.53,1435.09
23,58,364.41,48787.03,1431.1
24,58,365.01,48907.22,1427.92
25,58,363.17,48856.98,1438.46
26,58,361.63,47955.96,1405.06
27,58,363.71,49412.49,1435.86
28,58,366.67,51540.49,1506.05
29,54,363.73,52340.43,1519.21
30,53,371.91,58083.73,1644.98
31,34,387.26,61994.27,1707.93
