Month,Banks_On_UPI,Volume_Mn,Avg_Volume_Per_Bank_Mn
04-01-2016,21,0,0
05-01-2016,21,0,0
06-01-2016,21,0,0
07-01-2016,21,0.09,0
08-01-2016,21,0.09,0
09-01-2016,25,0.09,0
10-01-2016,26,0.1,0
11-01-2016,30,0.29,0.01
12-01-2016,35,1.99,0.06
01-01-2017,36,4.46,0.12
02-01-2017,44,4.38,0.1
03-01-2017,44,6.37,0.14
04-01-2017,48,7.2,0.15
05-01-2017,49,9.36,0.19
06-01-2017,52,10.35,0.2
07-01-2017,53,11.63,0.22
08-01-2017,55,16.8,0.31
09-01-2017,57,30.98,0.54
10-01-2017,60,76.96,1.28
11-01-2017,61,105.02,1.72
12-01-2017,67,145.64,2.17
01-01-2018,71,151.83,2.14
02-01-2018,86,171.4,1.99
03-01-2018,91,178.05,1.96
04-01-2018,97,190.08,1.96
05-01-2018,101,189.48,1.88
06-01-2018,110,246.37,2.24
07-01-2018,114,273.75,2.4
08-01-2018,114,312.02,2.74
09-01-2018,122,405.87,3.33
10-01-2018,128,482.36,3.77
11-01-2018,128,524.94,4.1
12-01-2018,129,620.17,4.81
01-01-2019,134,672.75,5.02
02-01-2019,139,674.19,4.85
03-01-2019,142,799.54,5.63
04-01-2019,144,781.79,5.43
05-01-2019,143,733.54,5.13
06-01-2019,142,754.54,5.31
07-01-2019,143,822.29,5.75
08-01-2019,141,918.35,6.51
09-01-2019,141,955.02,6.77
10-01-2019,141,1148.36,8.14
11-01-2019,143,1218.77,8.52
12-01-2019,143,1308.4,9.15
01-01-2020,144,1305.02,9.06
02-01-2020,146,1325.69,9.08
03-01-2020,148,1246.84,8.42
04-01-2020,153,999.57,6.53
05-01-2020,155,1234.5,7.96
06-01-2020,155,1336.93,8.63
07-01-2020,164,1497.36,9.13
08-01-2020,168,1618.83,9.64
09-01-2020,174,1800.14,10.35
10-01-2020,189,2071.62,10.96
11-01-2020,200,2210.23,11.05
12-01-2020,207,2234.16,10.79
01-01-2021,207,2302.73,11.12
02-01-2021,213,2292.9,10.76
03-01-2021,216,2731.68,12.65
04-01-2021,220,2641.06,12
05-01-2021,224,2539.57,11.34
06-01-2021,229,2807.51,12.26
07-01-2021,235,3247.82,13.82
08-01-2021,249,3555.55,14.28
09-01-2021,259,3654.3,14.11
10-01-2021,261,4218.65,16.16
11-01-2021,274,4186.48,15.28
12-01-2021,282,4566.3,16.19
01-01-2022,297,4617.15,15.55
02-01-2022,304,4527.49,14.89
03-01-2022,314,5405.65,17.22
04-01-2022,316,5583.05,17.67
05-01-2022,323,5955.2,18.44
06-01-2022,330,5862.75,17.77
07-01-2022,338,6288.4,18.6
08-01-2022,346,6579.63,19.02
09-01-2022,358,6780.8,18.94
10-01-2022,365,7305.42,20.01
11-01-2022,376,7309.45,19.44
12-01-2022,382,7829.49,20.5
01-01-2023,385,8036.89,20.88
02-01-2023,390,7534.76,19.32
03-01-2023,399,8685.3,21.77
04-01-2023,414,8863.26,21.41
05-01-2023,445,9415.19,21.16
06-01-2023,458,9335.06,20.38
07-01-2023,473,9964.61,21.07
08-01-2023,484,10586.02,21.87
09-01-2023,492,10555.69,21.45
10-01-2023,505,11408.79,22.59
11-01-2023,516,11235.29,21.77
12-01-2023,522,12020.23,23.03
01-01-2024,550,12203.02,22.19
02-01-2024,560,12102.67,21.61
03-01-2024,572,13440,23.5
04-01-2024,583,13303.99,22.82
05-01-2024,598,14035.84,23.47
06-01-2024,602,13885.14,23.07
07-01-2024,605,14435.55,23.86
08-01-2024,608,14963.05,24.61
09-01-2024,622,15041.75,24.18
10-01-2024,632,16584.97,26.24
11-01-2024,637,15482.02,24.3
12-01-2024,641,16730.01,26.1
01-01-2025,647,16996,26.27
02-01-2025,653,16106.19,24.66
03-01-2025,661,18301.51,27.69
04-01-2025,668,17893.42,26.79
05-01-2025,673,18677.46,27.75
06-01-2025,675,18395.01,27.25
07-01-2025,684,19467.95,28.46
08-01-2025,688,20008.31,29.08
09-01-2025,686,19633.43,28.62
10-01-2025,683,20700.92,30.31
11-01-2025,684,20466.98,29.92
12-01-2025,685,21634.67,31.58
01-01-2026,691,21703.44,31.41
02-01-2026,694,20394.18,29.39
